service_id,date,exception_type
SA,20100222,2
SA,20100223,2
SA,20100224,2
SA,20100225,2
SA,20100226,2
SA,20100227,1
SA,20100228,2
SA,20100301,2
SA,20100302,2
SA,20100303,2
SA,20100304,2
SA,20100305,2
SA,20100306,1
SA,20100307,2
SA,20100308,2
SA,20100309,2
SA,20100310,2
SA,20100311,2
SA,20100312,2
SA,20100313,1
SA,20100314,2
SA,20100315,2
SA,20100316,2
SA,20100317,2
SA,20100318,2
SA,20100319,2
SA,20100320,1
SA,20100321,2
SA,20100322,2
SA,20100323,2
SA,20100324,2
SA,20100325,2
SA,20100326,2
SA,20100327,1
SA,20100328,2
SA,20100329,2
SA,20100330,2
SA,20100331,2
SA,20100401,2
SA,20100402,2
SA,20100403,1
SA,20100404,2
SA,20100405,2
SA,20100406,2
SA,20100407,2
SA,20100408,2
SA,20100409,2
SA,20100410,1
SA,20100411,2
SA,20100412,2
SA,20100413,2
SA,20100414,2
SA,20100415,2
SA,20100416,2
SA,20100417,1
SA,20100418,2
SA,20100419,2
SA,20100420,2
SA,20100421,2
SA,20100422,2
SA,20100423,2
SA,20100424,1
SA,20100425,2
SA,20100426,2
SA,20100427,2
SA,20100428,2
SA,20100429,2
SA,20100430,2
SA,20100501,1
SU,20100110,1
SU,20100111,2
SU,20100112,2
SU,20100113,2
SU,20100114,2
SU,20100115,2
SU,20100116,2
SU,20100117,1
SU,20100118,2
SU,20100119,2
SU,20100120,2
SU,20100121,2
SU,20100122,2
SU,20100123,2
SU,20100124,1
SU,20100125,2
SU,20100126,2
SU,20100127,2
SU,20100128,2
SU,20100129,2
SU,20100130,2
SU,20100131,1
SU,20100201,2
SU,20100202,2
SU,20100203,2
SU,20100204,2
SU,20100205,2
SU,20100206,2
SU,20100207,1
SU,20100208,2
SU,20100209,2
SU,20100210,2
SU,20100211,2
SU,20100212,2
SU,20100213,2
SU,20100214,1
SU,20100215,2
SU,20100216,2
SU,20100217,2
SU,20100218,2
SU,20100219,2
SU,20100220,2
SU,20100221,1
SU,20100222,2
SU,20100223,2
SU,20100224,2
SU,20100225,2
SU,20100226,2
SU,20100227,2
SU,20100228,1
SU,20100301,2
SU,20100302,2
SU,20100303,2
SU,20100304,2
SU,20100305,2
SU,20100306,2
SU,20100307,1
SU,20100308,2
SU,20100309,2
SU,20100310,2
SU,20100311,2
SU,20100312,2
SU,20100313,2
SU,20100314,1
SU,20100315,2
SU,20100316,2
SU,20100317,2
SU,20100318,2
SU,20100319,2
SU,20100320,2
SU,20100321,1
SU,20100322,2
SU,20100323,2
SU,20100324,2
SU,20100325,2
SU,20100326,2
SU,20100327,2
SU,20100328,1
SU,20100329,2
SU,20100330,2
SU,20100331,2
SU,20100401,2
SU,20100402,2
SU,20100403,2
SU,20100404,1
SU,20100405,2
SU,20100406,2
SU,20100407,2
SU,20100408,2
SU,20100409,2
SU,20100410,2
SU,20100411,1
SU,20100412,2
SU,20100413,2
SU,20100414,2
SU,20100415,2
SU,20100416,2
SU,20100417,2
SU,20100418,1
SU,20100419,2
SU,20100420,2
SU,20100421,2
SU,20100422,2
SU,20100423,2
SU,20100424,2
SU,20100425,1
SU,20100426,2
SU,20100427,2
SU,20100428,2
SU,20100429,2
SU,20100430,2
SU,20100501,2
